cProfile Syntax: python -m cProfile -s cumtime SPKF.py

SPKF.py cProfile

         16017338 function calls (15570273 primitive calls) in 69.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.046    0.015    0.047    0.016 {method 'array_from_header' of 'scipy.io.matlab._mio5_utils.VarReader5' objects}
        1    0.000    0.000    0.047    0.047 font_manager.py:1010(json_load)
        1    0.000    0.000    0.046    0.046 category.py:1(<module>)
        1    0.000    0.000    0.046    0.046 __init__.py:274(load)
     2184    0.015    0.000    0.046    0.000 inspect.py:663(_finddoc)
   106682    0.046    0.000    0.046    0.000 twodim_base.py:236(_diag_dispatcher)
   142240    0.045    0.000    0.045    0.000 shape_base.py:19(_atleast_1d_dispatcher)
      481    0.001    0.000    0.045    0.000 artist.py:116(<lambda>)
      228    0.001    0.000    0.044    0.000 sre_compile.py:622(_code)
       13    0.000    0.000    0.044    0.003 patches.py:59(__init__)
        2    0.000    0.000    0.044    0.022 _base.py:1127(_gen_axes_spines)
       10    0.000    0.000    0.044    0.004 _base.py:1142(<genexpr>)
        8    0.000    0.000    0.044    0.005 spines.py:423(linear_spine)
        1    0.000    0.000    0.044    0.044 Image.py:1(<module>)
      481    0.002    0.000    0.044    0.000 artist.py:1159(set)
        8    0.000    0.000    0.044    0.005 spines.py:34(__init__)
     1264    0.004    0.000    0.043    0.000 __init__.py:623(__setitem__)
       32    0.000    0.000    0.043    0.001 axis.py:759(_set_scale)
        2    0.000    0.000    0.042    0.021 _base.py:742(_init_axis)
       38    0.000    0.000    0.042    0.001 patches.py:357(_set_facecolor)
       32    0.000    0.000    0.042    0.001 scale.py:104(set_default_locators_and_formatters)
        2    0.000    0.000    0.042    0.021 __init__.py:299(loads)
       37    0.042    0.001    0.042    0.001 cycler.py:364(by_key)
        2    0.000    0.000    0.042    0.021 decoder.py:332(decode)
        2    0.009    0.004    0.042    0.021 decoder.py:343(raw_decode)
       23    0.000    0.000    0.042    0.002 patches.py:364(set_facecolor)
      108    0.005    0.000    0.041    0.000 lines.py:276(__init__)
2487/2223    0.003    0.000    0.041    0.000 {built-in method builtins.next}
   106682    0.041    0.000    0.041    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    32149    0.041    0.000    0.041    0.000 {method 'expandtabs' of 'str' objects}
     2721    0.025    0.000    0.040    0.000 font_manager.py:1130(score_family)
       24    0.000    0.000    0.040    0.002 axis.py:790(clear)
      444    0.006    0.000    0.040    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    62/32    0.003    0.000    0.040    0.001 offsetbox.py:466(get_extent_offsets)
        1    0.000    0.000    0.039    0.039 py3k.py:1(<module>)
        1    0.000    0.000    0.039    0.039 __init__.py:2237(class_factory)
        8    0.000    0.000    0.039    0.005 axis.py:1860(_get_tick_boxes_siblings)
      710    0.009    0.000    0.039    0.000 artist.py:1046(update)
      756    0.008    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.038    0.038 cm.py:1(<module>)
     1704    0.006    0.000    0.038    0.000 __init__.py:276(process)
        1    0.000    0.000    0.037    0.037 _parser.py:1(<module>)
      132    0.006    0.000    0.037    0.000 lines.py:649(recache)
        4    0.000    0.000    0.037    0.009 axis.py:638(__init__)
        1    0.000    0.000    0.037    0.037 backend_agg.py:1(<module>)
       20    0.000    0.000    0.037    0.002 axis.py:850(set_tick_params)
     1586    0.006    0.000    0.036    0.000 transforms.py:1846(frozen)
       32    0.000    0.000    0.036    0.001 {method 'all' of 'numpy.ndarray' objects}
       32    0.001    0.000    0.036    0.001 ticker.py:433(__init__)
       32    0.000    0.000    0.036    0.001 _methods.py:60(_all)
       92    0.003    0.000    0.036    0.000 __init__.py:1338(_preprocess_data)
      161    0.011    0.000    0.035    0.000 __init__.py:1576(_substitute)
        2    0.000    0.000    0.035    0.018 axis.py:2013(__init__)
     12/8    0.000    0.000    0.035    0.004 axis.py:581(__get__)
    33/19    0.000    0.000    0.035    0.002 deprecation.py:294(wrapper)
       36    0.000    0.000    0.035    0.001 transforms.py:1601(transform_path)
        8    0.000    0.000    0.035    0.004 legend.py:830(_auto_legend_data)
      378    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        2    0.000    0.000    0.035    0.018 backend_tkagg.py:12(blit)
        2    0.000    0.000    0.035    0.018 _backend_tk.py:72(blit)
    62/32    0.000    0.000    0.035    0.001 offsetbox.py:472(<listcomp>)
        6    0.000    0.000    0.035    0.006 _base.py:3195(grid)
       36    0.000    0.000    0.035    0.001 transforms.py:1610(transform_path_affine)
